      Step     Time          Energy         fmax
BFGS:    0 12:28:02     -465.485418        5.7612
BFGS:    1 12:28:12     -466.449632        5.5605
BFGS:    2 12:28:22     -468.236516        2.4647
BFGS:    3 12:28:31     -468.053791        7.4020
BFGS:    4 12:28:41     -468.569993        1.6890
BFGS:    5 12:28:50     -468.670423        0.8095
BFGS:    6 12:29:01     -468.716072        0.6108
BFGS:    7 12:29:11     -468.720762        0.1123
BFGS:    8 12:29:21     -468.721026        0.0222
BFGS:    9 12:29:31     -468.721027        0.0011
      Step     Time          Energy         fmax
BFGS:    0 12:35:21     -465.485418        5.7612
BFGS:    1 12:35:30     -466.449632        5.5605
BFGS:    2 12:35:39     -468.236516        2.4647
BFGS:    3 12:35:48     -468.053791        7.4020
BFGS:    4 12:35:57     -468.569993        1.6890
BFGS:    5 12:36:06     -468.670423        0.8095
BFGS:    6 12:36:14     -468.716072        0.6108
BFGS:    7 12:36:22     -468.720762        0.1123
BFGS:    8 12:36:31     -468.721026        0.0222
BFGS:    9 12:36:40     -468.721027        0.0011
