==============================================================================
    step     energy [au]  potential [au]  temp [K]  wall clock time           
------------------------------------------------------------------------------
       0      8.05535192      0.00000000    300.00  2022-08-25 Thu 14:09:52.38
       0   -243.06018270   -251.11553462    300.00  2022-08-25 Thu 14:11:14.33
       1   -243.06003612   -251.11492708    297.37  2022-08-25 Thu 14:11:32.49
       2   -243.05979074   -251.11396937    287.81  2022-08-25 Thu 14:11:51.02
       3   -243.05937710   -251.11292809    279.27  2022-08-25 Thu 14:12:09.24
       4   -243.05896353   -251.11109513    270.06  2022-08-25 Thu 14:12:27.50
       5   -243.05848348   -251.10847770    259.06  2022-08-25 Thu 14:12:45.87
       6   -243.05803102   -251.10554363    256.86  2022-08-25 Thu 14:13:04.09
       7   -243.05755069   -251.10211750    255.29  2022-08-25 Thu 14:13:22.17
       8   -243.05713624   -251.09871582    253.70  2022-08-25 Thu 14:13:40.25
       9   -243.05671295   -251.09580434    257.98  2022-08-25 Thu 14:13:58.33
      10   -243.05644649   -251.09309374    262.00  2022-08-25 Thu 14:14:16.42
      11   -243.05624552   -251.09021201    269.39  2022-08-25 Thu 14:14:34.85
      12   -243.05610265   -251.08722512    282.93  2022-08-25 Thu 14:14:52.96
      13   -243.05603957   -251.08438646    302.28  2022-08-25 Thu 14:15:11.08
      14   -243.05598188   -251.08148735    324.75  2022-08-25 Thu 14:15:29.19
      15   -243.05596986   -251.07850593    340.75  2022-08-25 Thu 14:15:47.26
      16   -243.05604069   -251.07558110    351.35  2022-08-25 Thu 14:16:05.65
      17   -243.05591780   -251.07266267    354.90  2022-08-25 Thu 14:16:23.72
      18   -243.05583740   -251.06959930    352.08  2022-08-25 Thu 14:16:41.79
      19   -243.05567735   -251.06672401    345.79  2022-08-25 Thu 14:16:59.87
      20   -243.05560937   -251.06414724    338.87  2022-08-25 Thu 14:17:17.89
      21   -243.05547214   -251.06191301    326.86  2022-08-25 Thu 14:17:36.07
      22   -243.05539867   -251.06000739    320.56  2022-08-25 Thu 14:17:54.17
      23   -243.05544078   -251.05880740    314.54  2022-08-25 Thu 14:18:12.26
      24   -243.05542750   -251.05793491    309.86  2022-08-25 Thu 14:18:30.54
      25   -243.05557567   -251.05708789    306.91  2022-08-25 Thu 14:18:48.65
      26   -243.05579135   -251.05662585    302.01  2022-08-25 Thu 14:19:06.76
      27   -243.05592528   -251.05664110    299.55  2022-08-25 Thu 14:19:25.05
      28   -243.05622313   -251.05650541    295.10  2022-08-25 Thu 14:19:43.16
      29   -243.05649120   -251.05627730    291.43  2022-08-25 Thu 14:20:01.25
      30   -243.05690689   -251.05573184    290.09  2022-08-25 Thu 14:20:19.40
      31   -243.05742620   -251.05481970    296.76  2022-08-25 Thu 14:20:37.54
      32   -243.05773778   -251.05418092    294.93  2022-08-25 Thu 14:20:55.61
      33   -243.05804255   -251.05411592    293.52  2022-08-25 Thu 14:21:13.70
      34   -243.05834138   -251.05510629    296.56  2022-08-25 Thu 14:21:31.82
      35   -243.05863619   -251.05655640    297.99  2022-08-25 Thu 14:21:49.89
      36   -243.05885193   -251.05775279    302.19  2022-08-25 Thu 14:22:07.96
      37   -243.05906156   -251.05914548    306.55  2022-08-25 Thu 14:22:26.02
      38   -243.05914627   -251.06117592    304.31  2022-08-25 Thu 14:22:44.10
      39   -243.05913457   -251.06272072    296.17  2022-08-25 Thu 14:23:02.69
      40   -243.05907598   -251.06421755    289.85  2022-08-25 Thu 14:23:20.75
      41   -243.05895840   -251.06533453    282.94  2022-08-25 Thu 14:23:38.86
      42   -243.05885293   -251.06547308    274.48  2022-08-25 Thu 14:23:56.95
      43   -243.05866693   -251.06548245    274.80  2022-08-25 Thu 14:24:15.20
      44   -243.05851763   -251.06564196    277.46  2022-08-25 Thu 14:24:33.42
      45   -243.05832954   -251.06512715    276.42  2022-08-25 Thu 14:24:51.51
      46   -243.05821050   -251.06445894    275.68  2022-08-25 Thu 14:25:09.90
      47   -243.05815124   -251.06408872    278.20  2022-08-25 Thu 14:25:27.99
      48   -243.05801089   -251.06309129    275.28  2022-08-25 Thu 14:25:46.33
      49   -243.05782861   -251.06224004    280.60  2022-08-25 Thu 14:26:04.43
      50   -243.05771963   -251.06180474    291.73  2022-08-25 Thu 14:26:22.59
      51   -243.05761468   -251.06137563    305.89  2022-08-25 Thu 14:26:40.78
      52   -243.05747531   -251.06086956    313.54  2022-08-25 Thu 14:26:58.91
      53   -243.05729710   -251.06086550    317.69  2022-08-25 Thu 14:27:17.07
      54   -243.05716669   -251.06096361    315.51  2022-08-25 Thu 14:27:35.16
      55   -243.05716761   -251.06154879    310.95  2022-08-25 Thu 14:27:53.44
      56   -243.05704416   -251.06268740    312.31  2022-08-25 Thu 14:28:11.72
      57   -243.05694611   -251.06379734    312.53  2022-08-25 Thu 14:28:29.85
      58   -243.05690626   -251.06446532    309.84  2022-08-25 Thu 14:28:48.15
