# Potential on atoms 
#   id     pot (eV)
    1     -15.170084
    2     -15.174353
    3     -15.190779
    4     -15.178931
    5     -15.177989
    6     -15.191418
    7     -15.175748
    8     -15.163010
    9     -15.211786
   10     -14.968060
   11     -14.978492
   12     -14.927054
   13     -14.929108
   14     -14.978657
   15     -14.969517
   16     -15.207944
   17     -15.194547
   18     -14.949234
   19     -14.985938
   20     -14.918396
   21     -14.920320
   22     -14.979039
   23     -14.957378
   24     -15.192270
   25     -15.086436
   26     -15.187699
   27     -15.163197
   28     -15.176836
   29     -15.174927
   30     -15.165898
   31     -15.189677
   32     -15.102646
   33     -80.007448
   34     -79.997592
   35     -80.036618
   36     -80.038811
   37     -80.091562
   38     -80.091094
   39     -80.124632
   40     -80.117061
   41     -80.135329
   42     -80.149119
   43     -80.138168
   44     -80.140898
   45     -80.135622
   46     -80.136682
   47     -80.124579
   48     -80.143383
   49     -80.088099
   50     -80.078851
   51     -80.044638
   52     -80.044757
   53     -79.970223
   54     -79.963272
   55     -79.916668
   56     -79.928037
   57     -79.868727
   58     -79.869401
   59     -79.846157
   60     -79.845837
   61     -79.811659
   62     -79.811620
   63     -79.796299
   64     -79.795933
   65     -79.770039
   66     -79.769835
   67     -79.759012
   68     -79.758802
   69     -79.741663
   70     -79.741542
   71     -79.733845
   72     -79.733736
   73     -79.719254
   74     -79.719170
   75     -79.712904
   76     -79.712919
   77     -79.700949
   78     -79.700950
   79     -79.695932
   80     -79.695968
   81     -79.687653
   82     -79.687686
   83     -79.683823
   84     -79.683831
   85     -79.677582
   86     -79.677579
   87     -79.674742
   88     -79.674701
   89     -79.670639
   90     -79.670642
   91     -79.668794
   92     -79.668798
   93     -79.667037
   94     -79.667041
   95     -79.666477
   96     -79.666495
   97     -79.667083
   98     -79.667090
   99     -79.668011
  100     -79.668009
  101     -79.670462
  102     -79.670459
  103     -79.672708
  104     -79.672668
  105     -79.678017
  106     -79.677894
  107     -79.681343
  108     -79.681344
  109     -79.688829
  110     -79.688821
  111     -79.693413
  112     -79.693432
  113     -79.704106
  114     -79.703991
  115     -79.710012
  116     -79.710023
  117     -79.723179
  118     -79.723170
  119     -79.731006
  120     -79.730594
  121     -79.749381
  122     -79.748317
  123     -79.758844
  124     -79.758725
  125     -79.782113
  126     -79.781945
  127     -79.796411
  128     -79.794960
  129     -79.830082
  130     -79.827195
  131     -79.849529
  132     -79.849632
  133     -79.897038
  134     -79.897063
  135     -79.941806
  136     -79.932211
