# Potential on atoms 
#   id     pot (eV)
    1     -12.755675
    2     -13.015463
    3     -13.059013
    4     -13.064474
    5     -13.063159
    6     -13.058132
    7     -13.017081
    8     -12.749742
    9     -12.963238
   10     -12.941671
   11     -12.936301
   12     -12.897896
   13     -12.900699
   14     -12.936316
   15     -12.943404
   16     -12.957967
   17     -12.953194
   18     -12.925529
   19     -12.941905
   20     -12.889478
   21     -12.891142
   22     -12.934980
   23     -12.932925
   24     -12.947644
   25     -12.711339
   26     -13.014436
   27     -13.029039
   28     -13.061769
   29     -13.047283
   30     -13.032455
   31     -13.027930
   32     -12.718808
   33     -64.700584
   34     -64.688262
   35     -64.726219
   36     -64.728356
   37     -64.780171
   38     -64.779346
   39     -64.817067
   40     -64.807298
   41     -64.824829
   42     -64.842925
   43     -64.828186
   44     -64.831567
   45     -64.825226
   46     -64.826792
   47     -64.813840
   48     -64.838003
   49     -64.780491
   50     -64.767889
   51     -64.734280
   52     -64.735189
   53     -64.662619
   54     -64.654327
   55     -64.608050
   56     -64.618787
   57     -64.561496
   58     -64.560400
   59     -64.536833
   60     -64.536260
   61     -64.501472
   62     -64.501437
   63     -64.486975
   64     -64.486305
   65     -64.461749
   66     -64.461717
   67     -64.451283
   68     -64.451301
   69     -64.433106
   70     -64.433118
   71     -64.424607
   72     -64.424353
   73     -64.410107
   74     -64.410129
   75     -64.403699
   76     -64.403710
   77     -64.392545
   78     -64.392545
   79     -64.387484
   80     -64.387405
   81     -64.378922
   82     -64.378955
   83     -64.375010
   84     -64.375013
   85     -64.368583
   86     -64.368587
   87     -64.365763
   88     -64.365737
   89     -64.361507
   90     -64.361488
   91     -64.359929
   92     -64.359935
   93     -64.357967
   94     -64.357965
   95     -64.357508
   96     -64.357518
   97     -64.357979
   98     -64.357986
   99     -64.358849
  100     -64.358849
  101     -64.361679
  102     -64.361679
  103     -64.363767
  104     -64.363722
  105     -64.369100
  106     -64.369099
  107     -64.372512
  108     -64.372516
  109     -64.380223
  110     -64.380211
  111     -64.384804
  112     -64.384816
  113     -64.395242
  114     -64.395267
  115     -64.401325
  116     -64.401318
  117     -64.414745
  118     -64.414710
  119     -64.422529
  120     -64.422468
  121     -64.440230
  122     -64.440150
  123     -64.450439
  124     -64.450461
  125     -64.473807
  126     -64.473631
  127     -64.487549
  128     -64.487460
  129     -64.520991
  130     -64.518962
  131     -64.540686
  132     -64.540940
  133     -64.588721
  134     -64.588400
  135     -64.635957
  136     -64.625603
