 --- primitive lattice vectors ---
  13.6627189232   0.0000000000   0.0000000000
   0.0000000000  13.6627189232   0.0000000000
   0.0000000000   0.0000000000  37.7945198430
 --- Equilibrium position and mass of each atom---
 Natom=   38
     1   0.0000000000   0.0000000000   0.0000000000   115836.56299 Cu  
     2   3.4156797310   3.4156797310   0.0000000000   115836.56299 Cu  
     3   0.0000000000   6.8313594620   0.0000000000   115836.56299 Cu  
     4   3.4156797310  10.2470391920   0.0000000000   115836.56299 Cu  
     5   6.8313594620   0.0000000000   0.0000000000   115836.56299 Cu  
     6  10.2470391920   3.4156797310   0.0000000000   115836.56299 Cu  
     7   6.8313594620   6.8313594620   0.0000000000   115836.56299 Cu  
     8  10.2470391920  10.2470391920   0.0000000000   115836.56299 Cu  
     9  -0.0105539690   3.4250527580   3.4304899660   115836.56299 Cu  
    10   3.4154809680  -0.0000002120   3.4211563700   115836.56299 Cu  
    11  -0.0105785080  10.2376469440   3.4304828490   115836.56299 Cu  
    12   3.4141717960   6.8313588940   3.4381838190   115836.56299 Cu  
    13   6.8407517020   3.4251595990   3.4290711710   115836.56299 Cu  
    14  10.2474426530  -0.0000327840   3.4419435460   115836.56299 Cu  
    15   6.8407549980  10.2375454470   3.4291245390   115836.56299 Cu  
    16  10.2461766780   6.8313499530   3.4215820540   115836.56299 Cu  
    17   6.8461934850   0.0000605030   6.9154060230   115836.56299 Cu  
    18  13.6489730830  13.6626477910   6.9159351950   115836.56299 Cu  
    19   3.4155663480   3.4250299370   6.9399004470   115836.56299 Cu  
    20   3.4154622580  10.2376870790   6.9399206940   115836.56299 Cu  
    21   6.8775408330   6.8313423750   6.9977723670   115836.56299 Cu  
    22  13.6107828800   6.8312944070   7.0030400540   115836.56299 Cu  
    23  10.2463033660   3.4789378640   7.0201046930   115836.56299 Cu  
    24  10.2463276750  10.1836346690   7.0201345090   115836.56299 Cu  
    25  10.2450759720  13.6625956530  10.3309288780   115836.56299 Cu  
    26   3.4097579540   6.8313803180  10.3433521370   115836.56299 Cu  
    27   6.7887501710  10.2917847410  10.3561715780   115836.56299 Cu  
    28   6.7889503030   3.3711052700  10.3564630740   115836.56299 Cu  
    29   0.0439706960   3.3622539810  10.3580183210   115836.56299 Cu  
    30   0.0436240550  10.3002323260  10.3583451750   115836.56299 Cu  
    31   3.4218837890  13.6626701180  10.3674806560   115836.56299 Cu  
    32  10.2533047130   6.8314060450  10.8313214600   115836.56299 Cu  
    33  10.1983246560   5.5243260570  14.8621270400    21894.57964 C   
    34  10.2063656220   8.1354406310  14.8629589710    21894.57964 C   
    35   8.4303308550   4.4573304150  15.0571816600     1837.35098 H   
    36   8.4451480870   9.2127582140  15.0580893850     1837.35098 H   
    37  11.9545709460   4.4455517140  15.0893256280     1837.35098 H   
    38  11.9690221000   9.2028380540  15.0909105020     1837.35098 H   
 --- Vibrational modes ---
 Nmode=   42 Natom=   38
 n=     1 A   IR&R
     hbarW= -0.36329834E-03 Ha = -0.98858507E-02 eV; nu= -0.79734772E+02 cm^-1
    25   0.0013959400  0.0000363829 -0.0012406821
    26   0.0005998421  0.0045740645  0.0021264363
    27  -0.0392432849  0.0286679125 -0.0792038418
    28   0.0364144681  0.0244844471  0.0746540604
    29   0.0405346593 -0.0220352097 -0.0744485486
    30  -0.0400401252 -0.0255516036  0.0804906576
    31  -0.0022262894 -0.0008758684  0.0014651159
    32  -0.0011071713  0.0022366292 -0.0010860803
    33  -0.5112623538 -0.0013702709 -0.0049647449
    34   0.5020543147 -0.0044130717  0.0034699073
    35  -0.2697603463  0.2019868161  0.0016851166
    36   0.2687772141  0.2012567371 -0.0042000067
    37  -0.2707697741 -0.2013792573 -0.0080805665
    38   0.2676446362 -0.2047569379  0.0089592182
 n=     2 A   IR&R
     hbarW= -0.25202306E-03 Ha = -0.68578963E-02 eV; nu= -0.55312670E+02 cm^-1
    25   0.0027423460  0.3684144416 -0.0050178881
    26   0.0020257384  0.3496758381 -0.0002847204
    27   0.3547742475  0.0113005566 -0.0181104881
    28  -0.3524318413  0.0075317028  0.0172344201
    29   0.3525333260  0.0126291676  0.0229377799
    30  -0.3540951632  0.0074721105 -0.0155877767
    31  -0.0025154300 -0.3562532929 -0.0007739272
    32  -0.0016341149 -0.3141082183 -0.0008805341
    33   0.0010347684 -0.0772364717  0.0187123450
    34  -0.0020093161 -0.0771758656 -0.0196453285
    35   0.0006504554 -0.0221384143  0.0089122515
    36  -0.0009496043 -0.0221291769 -0.0092776493
    37   0.0007366775 -0.0207336447  0.0091672957
    38  -0.0010003475 -0.0207693008 -0.0091500092
 n=     3 A   IR&R
     hbarW= -0.22483510E-03 Ha = -0.61180743E-02 eV; nu= -0.49345602E+02 cm^-1
    25  -0.3589454778  0.0026117017 -0.0020848707
    26  -0.3436134596  0.0019908271  0.0104535894
    27  -0.0096005446 -0.3510249854 -0.0204866768
    28  -0.0134052448  0.3520935468 -0.0311519116
    29  -0.0094103162 -0.3513335773  0.0230394452
    30  -0.0142114545  0.3496391013  0.0288259983
    31   0.3539925102 -0.0024123051 -0.0057104525
    32   0.3233075036 -0.0029426890  0.0059110914
    33   0.1043477103  0.0001713332  0.0031044473
    34   0.1102343215  0.0000615456  0.0029352248
    35   0.0288850470  0.0014270149 -0.0036855938
    36   0.0319938392  0.0009663063 -0.0038636573
    37   0.0288143975 -0.0013614393  0.0053420949
    38   0.0319342309 -0.0008897992  0.0053441559
 n=     4 A   IR&R
     hbarW= -0.25936462E-04 Ha = -0.70576703E-03 eV; nu= -0.56923956E+01 cm^-1
    25   0.0302030806  0.3345314638 -0.0488542069
    26   0.0289546053  0.3349728561 -0.0306123484
    27   0.0281832226  0.3406460326 -0.0778146551
    28   0.0274152441  0.3413449590 -0.0008190422
    29   0.0335685447  0.3402864329  0.0293056979
    30   0.0326342778  0.3412732700 -0.0823129390
    31   0.0306154374  0.3454601445 -0.0265749339
    32   0.0301222723  0.3557772102 -0.0429055916
    33   0.0085643802  0.1262530079 -0.0274787272
    34   0.0081436870  0.1262386263 -0.0078112389
    35   0.0024517570  0.0360436581 -0.0101521730
    36   0.0022139275  0.0360012116 -0.0013279949
    37   0.0024034594  0.0360654050 -0.0089614655
    38   0.0021950540  0.0362605961 -0.0004045226
 n=     5 A   IR&R
     hbarW= -0.14018367E-04 Ha = -0.38145917E-03 eV; nu= -0.30766760E+01 cm^-1
    25  -0.0550295384  0.0391953752  0.3532265121
    26  -0.0685332091  0.0429356393  0.3412903533
    27  -0.0523752548  0.0440801799  0.3072125017
    28  -0.0535489739  0.0388798660  0.3005325755
    29  -0.0632008226  0.0365133230  0.3322094058
    30  -0.0625995192  0.0476912055  0.3645137040
    31  -0.0584550196  0.0406091912  0.3178176081
    32  -0.0534173994  0.0429458274  0.3511985651
    33  -0.0647836285  0.0123087043  0.1491072343
    34  -0.0690416351  0.0115793203  0.1546445651
    35  -0.0188413478  0.0027483407  0.0382748041
    36  -0.0210735367  0.0023109378  0.0410206953
    37  -0.0188822480  0.0043582602  0.0476243001
    38  -0.0211475849  0.0039847473  0.0505226119
 n=     6 A   IR&R
     hbarW= -0.11510775E-04 Ha = -0.31322412E-03 eV; nu= -0.25263232E+01 cm^-1
    25  -0.3361671155  0.0204578945 -0.0984163012
    26  -0.3452803846  0.0251777589 -0.0464759569
    27  -0.3371569571  0.0166093240 -0.0594015214
    28  -0.3374054616  0.0293914853 -0.0786685987
    29  -0.3271038574  0.0182925903 -0.0726218925
    30  -0.3268433833  0.0287063658 -0.0464636562
    31  -0.3265904040  0.0215202155 -0.0406333694
