#             Spectrum data 
#      Energy[eV]        Spectrum 
  0.6018449890E+02  0.1075802200E-07
  0.6023892167E+02  0.1594495483E-07
  0.6029334444E+02  0.2349640284E-07
  0.6034776721E+02  0.3442446257E-07
  0.6040218998E+02  0.5014425037E-07
  0.6045661275E+02  0.7262126050E-07
  0.6051103552E+02  0.1045672213E-06
  0.6056545829E+02  0.1496983377E-06
  0.6061988106E+02  0.2130730361E-06
  0.6067430383E+02  0.3015300498E-06
  0.6072872659E+02  0.4242518827E-06
  0.6078314936E+02  0.5934833215E-06
  0.6083757213E+02  0.8254396240E-06
  0.6089199490E+02  0.1141444128E-05
  0.6094641767E+02  0.1569340053E-05
  0.6100084044E+02  0.2145225878E-05
  0.6105526321E+02  0.2915567388E-05
  0.6110968598E+02  0.3939741804E-05
  0.6116410875E+02  0.5293069572E-05
  0.6121853152E+02  0.7070386711E-05
  0.6127295428E+02  0.9390204121E-05
  0.6132737705E+02  0.1239948912E-04
  0.6138179982E+02  0.1627908760E-04
  0.6143622259E+02  0.2124978196E-04
  0.6149064536E+02  0.2757894905E-04
  0.6154506813E+02  0.3558774424E-04
  0.6159949090E+02  0.4565869073E-04
  0.6165391367E+02  0.5824349952E-04
  0.6170833644E+02  0.7387088376E-04
  0.6176275921E+02  0.9315406536E-04
  0.6181718197E+02  0.1167976021E-03
  0.6187160474E+02  0.1456030945E-03
  0.6192602751E+02  0.1804732681E-03
  0.6198045028E+02  0.2224138691E-03
  0.6203487305E+02  0.2725327743E-03
  0.6208929582E+02  0.3320356940E-03
  0.6214371859E+02  0.4022178534E-03
  0.6219814136E+02  0.4844510820E-03
  0.6225256413E+02  0.5801658117E-03
  0.6230698690E+02  0.6908276105E-03
  0.6236140966E+02  0.8179080368E-03
  0.6241583243E+02  0.9628498082E-03
  0.6247025520E+02  0.1127026525E-02
  0.6252467797E+02  0.1311697470E-02
  0.6257910074E+02  0.1517958307E-02
  0.6263352351E+02  0.1746688834E-02
  0.6268794628E+02  0.1998499231E-02
  0.6274236905E+02  0.2273676567E-02
  0.6279679182E+02  0.2572133567E-02
  0.6285121459E+02  0.2893361819E-02
  0.6290563735E+02  0.3236391724E-02
  0.6296006012E+02  0.3599761511E-02
  0.6301448289E+02  0.3981497507E-02
  0.6306890566E+02  0.4379107663E-02
  0.6312332843E+02  0.4789589988E-02
  0.6317775120E+02  0.5209457069E-02
  0.6323217397E+02  0.5634777324E-02
  0.6328659674E+02  0.6061232952E-02
  0.6334101951E+02  0.6484193880E-02
  0.6339544228E+02  0.6898806241E-02
  0.6344986504E+02  0.7300093253E-02
  0.6350428781E+02  0.7683065643E-02
  0.6355871058E+02  0.8042838265E-02
  0.6361313335E+02  0.8374749047E-02
  0.6366755612E+02  0.8674476173E-02
  0.6372197889E+02  0.8938149272E-02
  0.6377640166E+02  0.9162450478E-02
  0.6383082443E+02  0.9344701524E-02
  0.6388524720E+02  0.9482933508E-02
  0.6393966997E+02  0.9575936594E-02
  0.6399409273E+02  0.9623287713E-02
  0.6404851550E+02  0.9625355216E-02
  0.6410293827E+02  0.9583280331E-02
  0.6415736104E+02  0.9498936268E-02
  0.6421178381E+02  0.9374866682E-02
  0.6426620658E+02  0.9214206019E-02
  0.6432062935E+02  0.9020584971E-02
  0.6437505212E+02  0.8798024765E-02
  0.6442947489E+02  0.8550824364E-02
  0.6448389766E+02  0.8283444773E-02
  0.6453832042E+02  0.8000394627E-02
  0.6459274319E+02  0.7706120952E-02
  0.6464716596E+02  0.7404908600E-02
  0.6470158873E+02  0.7100791338E-02
  0.6475601150E+02  0.6797476888E-02
  0.6481043427E+02  0.6498287537E-02
  0.6486485704E+02  0.6206117206E-02
  0.6491927981E+02  0.5923405152E-02
  0.6497370258E+02  0.5652125805E-02
  0.6502812535E+02  0.5393793688E-02
  0.6508254811E+02  0.5149481856E-02
  0.6513697088E+02  0.4919851933E-02
  0.6519139365E+02  0.4705193586E-02
  0.6524581642E+02  0.4505471132E-02
  0.6530023919E+02  0.4320374958E-02
  0.6535466196E+02  0.4149375529E-02
  0.6540908473E+02  0.3991777879E-02
  0.6546350750E+02  0.3846774762E-02
  0.6551793027E+02  0.3713496840E-02
  0.6557235304E+02  0.3591058613E-02
  0.6562677580E+02  0.3478599058E-02
  0.6568119857E+02  0.3375316254E-02
  0.6573562134E+02  0.3280495487E-02
  0.6579004411E+02  0.3193530609E-02
  0.6584446688E+02  0.3113938577E-02
  0.6589888965E+02  0.3041367314E-02
  0.6595331242E+02  0.2975597138E-02
  0.6600773519E+02  0.2916536139E-02
  0.6606215796E+02  0.2864209985E-02
  0.6611658073E+02  0.2818746720E-02
  0.6617100349E+02  0.2780357189E-02
  0.6622542626E+02  0.2749311814E-02
  0.6627984903E+02  0.2725914511E-02
  0.6633427180E+02  0.2710474614E-02
  0.6638869457E+02  0.2703277743E-02
  0.6644311734E+02  0.2704556604E-02
  0.6649754011E+02  0.2714462782E-02
  0.6655196288E+02  0.2733040579E-02
  0.6660638565E+02  0.2760203985E-02
  0.6666080842E+02  0.2795717798E-02
  0.6671523118E+02  0.2839183851E-02
  0.6676965395E+02  0.2890033186E-02
  0.6682407672E+02  0.2947524796E-02
  0.6687849949E+02  0.3010751407E-02
  0.6693292226E+02  0.3078652450E-02
  0.6698734503E+02  0.3150034121E-02
  0.6704176780E+02  0.3223596094E-02
  0.6709619057E+02  0.3297964152E-02
  0.6715061334E+02  0.3371727674E-02
  0.6720503611E+02  0.3443480655E-02
  0.6725945887E+02  0.3511864698E-02
  0.6731388164E+02  0.3575612219E-02
  0.6736830441E+02  0.3633588062E-02
  0.6742272718E+02  0.3684827648E-02
  0.6747714995E+02  0.3728569895E-02
  0.6753157272E+02  0.3764283319E-02
  0.6758599549E+02  0.3791683948E-02
  0.6764041826E+02  0.3810744069E-02
  0.6769484103E+02  0.3821691168E-02
  0.6774926380E+02  0.3824996911E-02
  0.6780368656E+02  0.3821356449E-02
  0.6785810933E+02  0.3811658814E-02
  0.6791253210E+02  0.3796949578E-02
  0.6796695487E+02  0.3778387359E-02
  0.6802137764E+02  0.3757196059E-02
  0.6807580041E+02  0.3734614933E-02
  0.6813022318E+02  0.3711848715E-02
  0.6818464595E+02  0.3690020036E-02
  0.6823906872E+02  0.3670126257E-02
  0.6829349149E+02  0.3653002632E-02
  0.6834791425E+02  0.3639293423E-02
  0.6840233702E+02  0.3629432174E-02
