 ===== energy eigen values =====
 ik =    1 (  0.500000  0.000000  0.500000 )
     -1.20127076     -1.20126981     -1.20126923     -1.20126827     -1.19752184
     -1.19752111     -1.19752083     -1.19752010     -1.19644272     -1.19644204
     -1.19644174     -1.19644106     -1.19613370     -1.19613260     -1.19613231
     -1.19613120     -1.19481287     -1.19481176     -1.19481148     -1.19481037
     -1.19276591     -1.19276491     -1.19276436     -1.19276335     -0.39455026
     -0.39454977     -0.39454713     -0.39454664     -0.36256297     -0.36256244
     -0.36255926     -0.36255874     -0.35811519     -0.35811397     -0.35811297
     -0.35811174     -0.34734537     -0.34734444     -0.34734297     -0.34734205
     -0.09246225     -0.09246093     -0.09246088     -0.09245956     -0.09003388
     -0.09003373     -0.09003272     -0.09003257     -0.08263085     -0.08262952
     -0.08262911     -0.08262778     -0.04923455     -0.04923420     -0.04923083
     -0.04923048     -0.04550785     -0.04550698     -0.04550674     -0.04550587
     -0.02875098     -0.02875054     -0.02874797     -0.02874754     -0.01980965
     -0.01980961     -0.01980955     -0.01980951     -0.00895136     -0.00895083
     -0.00895002     -0.00894950      0.00394324      0.00394353      0.00394452
      0.00394481      0.02756176      0.02756213      0.02756333      0.02756370
      0.03162489      0.03162512      0.03162553      0.03162576      0.04344565
      0.04344587      0.04344715      0.04344737      0.06868137      0.06868176
      0.06868328      0.06868367      0.07368901      0.07368916      0.07368959
      0.07368975      0.16792287      0.16792322      0.16792335      0.16792370
      0.17278148      0.17278187      0.17278327      0.17278366      0.17515136
      0.17515163      0.17515212      0.17515240      0.18773431      0.18773490
      0.18773523      0.18773581      0.20500409      0.20500444      0.20500544
      0.20500580      0.21034250      0.21034279      0.21034316      0.21034344
      0.22671362      0.22671397      0.22671495      0.22671531      0.25394902
      0.25394940      0.25394986      0.25395380
 ===== energy eigen values =====
 ik =    2 (  0.000000  0.000000  0.500000 )
     -1.20350249     -1.20350249     -1.20350192     -1.20350192     -1.20350061
     -1.20350061     -1.19742968     -1.19742968     -1.19482148     -1.19482148
     -1.19481993     -1.19481993     -1.19481871     -1.19481871     -1.19414655
     -1.19414655     -1.19414611     -1.19414611     -1.19414580     -1.19414580
     -1.19136450     -1.19136450     -1.19136450     -1.19136450     -0.42409834
     -0.42409834     -0.37485231     -0.37485231     -0.35691952     -0.35691760
     -0.35691502     -0.35691362     -0.35691206     -0.35691141     -0.34812996
     -0.34812873     -0.34812578     -0.34812439     -0.34812216     -0.34812197
     -0.11594995     -0.11594930     -0.11594909     -0.11594859     -0.11594720
     -0.11594575     -0.11221054     -0.11221054     -0.08372973     -0.08372923
     -0.08372895     -0.08372842     -0.08372768     -0.08372670     -0.05029695
     -0.05029508     -0.05029412     -0.05029323     -0.05029311     -0.05029201
     -0.02088455     -0.02088449     -0.02088427     -0.02088411     -0.02088399
     -0.02088384     -0.00082185     -0.00082185     -0.00082185     -0.00082185
      0.02343527      0.02343578      0.02343726      0.02343794      0.02343893
      0.02343909      0.02761398      0.02761398      0.03921084      0.03921084
      0.03921084      0.03921084      0.05534482      0.05534483      0.05534485
      0.05534497      0.05534522      0.05534529      0.07045472      0.07045491
      0.07045521      0.07045522      0.07045606      0.07045626      0.10875714
      0.10875719      0.16924576      0.16924584      0.16924620      0.16924646
      0.16924671      0.16924762      0.18751356      0.18751370      0.18751418
      0.18751445      0.18751545      0.18782123      0.19167158      0.19167158
      0.19167212      0.19168208      0.19834217      0.19834219      0.19834271
      0.19834317      0.23352730      0.23352772      0.23353112      0.23356453
      0.23568924      0.24511848      0.24521931      0.24521949      0.24521986
      0.24522068      0.31895602      0.32667021
 ===== occupations =====
 ik =    1 (  0.500000  0.000000  0.500000 )
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000
 ===== occupations =====
 ik =    2 (  0.000000  0.000000  0.500000 )
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
