 ===== energy eigen values =====
 ik =    1 (  0.500000  0.000000  0.500000 )
     -1.18820110     -1.18820075     -1.18563641     -1.18563612     -1.18463163
     -1.18463131     -1.18436425     -1.18436052     -1.18209207     -1.18208731
     -1.18105445     -1.18105305     -1.18088986     -1.18088894     -1.18044561
     -1.18044372     -1.17989418     -1.17989386     -1.17883260     -1.17883162
     -1.17873683     -1.17873542     -1.17562133     -1.17561900     -0.38880906
     -0.38811787     -0.38194496     -0.38129390     -0.35731166     -0.35665309
     -0.35324192     -0.35309047     -0.35197453     -0.35063849     -0.34426215
     -0.34147118     -0.33776662     -0.33669928     -0.29278240     -0.28823077
     -0.08888041     -0.08767536     -0.08462323     -0.08455383     -0.08348143
     -0.08346172     -0.07787170     -0.07542472     -0.07362313     -0.07334695
     -0.07304500     -0.06944838     -0.04639541     -0.04071092     -0.04052839
     -0.03936618     -0.03888744     -0.03753791     -0.03534835     -0.02980501
     -0.01869927     -0.01677309     -0.01611202     -0.01507552     -0.01337633
     -0.01324785     -0.00846704     -0.00249750      0.00270894      0.00401016
      0.00434160      0.01172053      0.01173098      0.01335901      0.02155845
      0.02344082      0.03435402      0.03678367      0.03783194      0.03974558
      0.04057214      0.04227256      0.04465129      0.05655428      0.05983845
      0.06244189      0.06334715      0.06635569      0.07728048      0.07833522
      0.08094592      0.08167518      0.08607755      0.08717848      0.09000698
      0.09129828      0.16669875      0.17220031      0.17922599      0.18053445
      0.18066044      0.18397037      0.18442213      0.18442518      0.18471782
      0.18536370      0.19139872      0.19356053      0.19726090      0.19993714
      0.20049812      0.20244203      0.21105586      0.21437185      0.21804842
      0.21858081      0.22086453      0.22219705      0.22300198      0.22492760
      0.23691085      0.23872421      0.24293502      0.24741672      0.26259476
      0.26429538      0.26707136      0.27471209
 ===== energy eigen values =====
 ik =    2 (  0.000000  0.000000  0.500000 )
     -1.18987931     -1.18987931     -1.18987303     -1.18987303     -1.18650156
     -1.18649815     -1.18460731     -1.18459434     -1.18108324     -1.18107497
     -1.18032428     -1.18032428     -1.18032236     -1.18032236     -1.17941161
     -1.17941161     -1.17941134     -1.17941134     -1.17864359     -1.17864297
     -1.17501276     -1.17501276     -1.17501075     -1.17501075     -0.41496785
     -0.41433922     -0.36893573     -0.36552653     -0.35173800     -0.35173800
     -0.34975554     -0.34975554     -0.34360818     -0.34159013     -0.34159013
     -0.33860254     -0.33756455     -0.33756455     -0.28454986     -0.28017998
     -0.11189510     -0.11189510     -0.10916226     -0.10873193     -0.10873193
     -0.10855865     -0.10392058     -0.10310349     -0.08178944     -0.08060237
     -0.08060237     -0.07612276     -0.07612276     -0.07417774     -0.04604911
     -0.04604911     -0.03841695     -0.03841695     -0.03143414     -0.03132338
     -0.01425244     -0.01395517     -0.00665626     -0.00665626     -0.00594094
     -0.00594094      0.01693048      0.01693048      0.01704560      0.01704560
      0.02458958      0.02472201      0.02472201      0.02906624      0.02920073
      0.02920073      0.04605557      0.05002481      0.05219060      0.05219060
      0.05290318      0.05290318      0.06178457      0.06442060      0.07829385
      0.07829386      0.07983614      0.07983616      0.08136960      0.08199143
      0.08670092      0.08670092      0.08959038      0.08959039      0.11554230
      0.12544609      0.18193296      0.18200968      0.18251506      0.18252138
      0.18276529      0.18277697      0.19553780      0.19623849      0.20019116
      0.20045652      0.20081323      0.20216611      0.20498121      0.20501137
      0.20771835      0.20798689      0.21434024      0.21470190      0.21796480
      0.21797273      0.23850080      0.23964055      0.24082460      0.24471530
      0.25074832      0.25462199      0.25651939      0.25655787      0.25839988
      0.25870892      0.26623594      0.32411851
 ===== occupations =====
 ik =    1 (  0.500000  0.000000  0.500000 )
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000
 ===== occupations =====
 ik =    2 (  0.000000  0.000000  0.500000 )
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000
