====================================================================
   i   j      r [au]   pdf: d(r)   rdf: g(r)   cn: n1(r)   cn: n2(r)
--------------------------------------------------------------------
   1   1      1.0000      0.0000      0.0000      0.0000      0.0000
   1   1      1.0100      0.0000      0.0000      0.0000      0.0000
   1   1      1.0200      0.0000      0.0000      0.0000      0.0000
   1   1      1.0300      0.0000      0.0000      0.0000      0.0000
   1   1      1.0400      0.0000      0.0000      0.0000      0.0000
   1   1      1.0500      0.0000      0.0000      0.0000      0.0000
   1   1      1.0600      0.0000      0.0000      0.0000      0.0000
   1   1      1.0700      0.0000      0.0000      0.0000      0.0000
   1   1      1.0800      0.0000      0.0000      0.0000      0.0000
   1   1      1.0900      0.0000      0.0000      0.0000      0.0000
   1   1      1.1000      0.0000      0.0000      0.0000      0.0000
   1   1      1.1100      0.0000      0.0000      0.0000      0.0000
   1   1      1.1200      0.0000      0.0000      0.0000      0.0000
   1   1      1.1300      0.0000      0.0000      0.0000      0.0000
   1   1      1.1400      0.0000      0.0000      0.0000      0.0000
   1   1      1.1500      0.0000      0.0000      0.0000      0.0000
   1   1      1.1600      0.0000      0.0000      0.0000      0.0000
   1   1      1.1700      0.0000      0.0000      0.0000      0.0000
   1   1      1.1800      0.0000      0.0000      0.0000      0.0000
   1   1      1.1900      0.0000      0.0000      0.0000      0.0000
   1   1      1.2000      0.0000      0.0000      0.0000      0.0000
   1   1      1.2100      0.0000      0.0000      0.0000      0.0000
   1   1      1.2200      0.0000      0.0000      0.0000      0.0000
   1   1      1.2300      0.0000      0.0000      0.0000      0.0000
   1   1      1.2400      0.0000      0.0000      0.0000      0.0000
   1   1      1.2500      0.0000      0.0000      0.0000      0.0000
   1   1      1.2600      0.0000      0.0000      0.0000      0.0000
   1   1      1.2700      0.0000      0.0000      0.0000      0.0000
   1   1      1.2800      0.0000      0.0000      0.0000      0.0000
   1   1      1.2900      0.0000      0.0023      0.0000      0.0000
   1   1      1.3000      0.0000      0.0000      0.0000      0.0000
   1   1      1.3100      0.0000      0.0000      0.0000      0.0000
   1   1      1.3200      0.0000      0.0011      0.0000      0.0000
   1   1      1.3300      0.0000      0.0000      0.0000      0.0000
   1   1      1.3400      0.0000      0.0011      0.0000      0.0000
   1   1      1.3500      0.0000      0.0000      0.0000      0.0000
   1   1      1.3600      0.0000      0.0000      0.0000      0.0000
   1   1      1.3700      0.0000      0.0010      0.0000      0.0000
   1   1      1.3800      0.0000      0.0000      0.0000      0.0000
   1   1      1.3900      0.0000      0.0010      0.0000      0.0000
   1   1      1.4000      0.0000      0.0010      0.0000      0.0000
   1   1      1.4100      0.0000      0.0000      0.0000      0.0000
   1   1      1.4200      0.0000      0.0000      0.0000      0.0000
   1   1      1.4300      0.0000      0.0009      0.0000      0.0000
   1   1      1.4400      0.0000      0.0009      0.0000      0.0000
   1   1      1.4500      0.0000      0.0000      0.0000      0.0000
   1   1      1.4600      0.0001      0.0054      0.0001      0.0001
   1   1      1.4700      0.0001      0.0079      0.0001      0.0001
   1   1      1.4800      0.0002      0.0183      0.0002      0.0002
   1   1      1.4900      0.0001      0.0120      0.0002      0.0002
   1   1      1.5000      0.0002      0.0135      0.0003      0.0003
   1   1      1.5100      0.0002      0.0201      0.0004      0.0004
   1   1      1.5200      0.0004      0.0330      0.0005      0.0005
   1   1      1.5300      0.0005      0.0440      0.0007      0.0007
   1   1      1.5400      0.0006      0.0506      0.0009      0.0009
   1   1      1.5500      0.0008      0.0611      0.0012      0.0012
   1   1      1.5600      0.0012      0.0971      0.0016      0.0016
   1   1      1.5700      0.0014      0.1059      0.0021      0.0021
   1   1      1.5800      0.0018      0.1381      0.0028      0.0028
   1   1      1.5900      0.0022      0.1635      0.0035      0.0035
   1   1      1.6000      0.0027      0.2002      0.0045      0.0045
   1   1      1.6100      0.0040      0.2940      0.0059      0.0059
   1   1      1.6200      0.0052      0.3790      0.0078      0.0078
   1   1      1.6300      0.0069      0.4984      0.0103      0.0103
   1   1      1.6400      0.0076      0.5398      0.0130      0.0130
   1   1      1.6500      0.0094      0.6642      0.0164      0.0164
   1   1      1.6600      0.0112      0.7772      0.0204      0.0204
   1   1      1.6700      0.0127      0.8752      0.0250      0.0250
   1   1      1.6800      0.0154      1.0491      0.0305      0.0305
   1   1      1.6900      0.0183      1.2295      0.0371      0.0371
   1   1      1.7000      0.0212      1.4102      0.0447      0.0447
   1   1      1.7100      0.0255      1.6733      0.0539      0.0539
   1   1      1.7200      0.0299      1.9398      0.0647      0.0647
   1   1      1.7300      0.0321      2.0620      0.0762      0.0762
   1   1      1.7400      0.0367      2.3297      0.0895      0.0895
   1   1      1.7500      0.0409      2.5657      0.1042      0.1042
   1   1      1.7600      0.0451      2.7968      0.1204      0.1204
   1   1      1.7700      0.0514      3.1485      0.1389      0.1389
   1   1      1.7800      0.0557      3.3748      0.1590      0.1590
   1   1      1.7900      0.0594      3.5614      0.1804      0.1804
   1   1      1.8000      0.0652      3.8636      0.2038      0.2038
   1   1      1.8100      0.0708      4.1484      0.2293      0.2293
   1   1      1.8200      0.0735      4.2635      0.2558      0.2558
   1   1      1.8300      0.0795      4.5566      0.2844      0.2844
   1   1      1.8400      0.0827      4.6924      0.3141      0.3141
   1   1      1.8500      0.0879      4.9313      0.3458      0.3458
   1   1      1.8600      0.0895      4.9665      0.3780      0.3780
   1   1      1.8700      0.0942      5.1751      0.4119      0.4119
   1   1      1.8800      0.0976      5.3040      0.4471      0.4471
   1   1      1.8900      0.0986      5.3019      0.4826      0.4826
   1   1      1.9000      0.0975      5.1861      0.5176      0.5176
   1   1      1.9100      0.1008      5.3058      0.5539      0.5539
   1   1      1.9200      0.1032      5.3758      0.5911      0.5911
   1   1      1.9300      0.1003      5.1719      0.6272      0.6272
   1   1      1.9400      0.1020      5.2073      0.6639      0.6639
   1   1      1.9500      0.1020      5.1520      0.7006      0.7006
   1   1      1.9600      0.0997      4.9830      0.7365      0.7365
   1   1      1.9700      0.1009      4.9915      0.7728      0.7728
   1   1      1.9800      0.0992      4.8586      0.8085      0.8085
   1   1      1.9900      0.0969      4.6997      0.8434      0.8434
   1   1      2.0000      0.0909      4.3665      0.8762      0.8762
   1   1      2.0100      0.0907      4.3123      0.9088      0.9088
   1   1      2.0200      0.0874      4.1115      0.9403      0.9403
   1   1      2.0300      0.0848      3.9522      0.9708      0.9708
   1   1      2.0400      0.0796      3.6741      0.9995      0.9995
   1   1      2.0500      0.0753      3.4425      1.0266      1.0266
   1   1      2.0600      0.0720      3.2588      1.0525      1.0525
   1   1      2.0700      0.0673      3.0148      1.0767      1.0767
   1   1      2.0800      0.0656      2.9101      1.1003      1.1003
   1   1      2.0900      0.0605      2.6608      1.1221      1.1221
   1   1      2.1000      0.0552      2.4022      1.1420      1.1420
   1   1      2.1100      0.0535      2.3097      1.1612      1.1612
   1   1      2.1200      0.0501      2.1396      1.1793      1.1793
   1   1      2.1300      0.0458      1.9385      1.1957      1.1957
   1   1      2.1400      0.0444      1.8614      1.2117      1.2117
   1   1      2.1500      0.0419      1.7415      1.2268      1.2268
   1   1      2.1600      0.0381      1.5686      1.2405      1.2405
   1   1      2.1700      0.0349      1.4218      1.2531      1.2531
   1   1      2.1800      0.0318      1.2837      1.2645      1.2645
   1   1      2.1900      0.0285      1.1413      1.2748      1.2748
   1   1      2.2000      0.0276      1.0952      1.2847      1.2847
   1   1      2.2100      0.0247      0.9698      1.2936      1.2936
   1   1      2.2200      0.0225      0.8772      1.3017      1.3017
   1   1      2.2300      0.0202      0.7812      1.3090      1.3090
   1   1      2.2400      0.0192      0.7355      1.3159      1.3159
   1   1      2.2500      0.0169      0.6413      1.3220      1.3220
   1   1      2.2600      0.0150      0.5629      1.3274      1.3274
   1   1      2.2700      0.0131      0.4892      1.3321      1.3321
   1   1      2.2800      0.0131      0.4856      1.3368      1.3368
   1   1      2.2900      0.0119      0.4367      1.3411      1.3411
   1   1      2.3000      0.0108      0.3919      1.3450      1.3450
   1   1      2.3100      0.0092      0.3310      1.3483      1.3483
   1   1      2.3200      0.0085      0.3044      1.3514      1.3514
   1   1      2.3300      0.0080      0.2825      1.3543      1.3543
   1   1      2.3400      0.0074      0.2596      1.3569      1.3569
   1   1      2.3500      0.0063      0.2205      1.3592      1.3592
   1   1      2.3600      0.0053      0.1827      1.3611      1.3611
   1   1      2.3700      0.0049      0.1666      1.3629      1.3629
   1   1      2.3800      0.0044      0.1487      1.3644      1.3644
   1   1      2.3900      0.0037      0.1251      1.3658      1.3658
   1   1      2.4000      0.0036      0.1184      1.3671      1.3671
   1   1      2.4100      0.0036      0.1174      1.3683      1.3683
   1   1      2.4200      0.0031      0.1031      1.3695      1.3695
   1   1      2.4300      0.0030      0.0974      1.3706      1.3706
   1   1      2.4400      0.0029      0.0925      1.3716      1.3716
   1   1      2.4500      0.0028      0.0905      1.3726      1.3726
   1   1      2.4600      0.0027      0.0872      1.3736      1.3736
   1   1      2.4700      0.0029      0.0918      1.3746      1.3746
