==============================================================================
    step     energy [au]  potential [au]  temp [K]  wall clock time           
------------------------------------------------------------------------------
       0   -202.02667394   -206.51332931    300.00  2022-01-12 Wed 19:19:56.39
       1   -202.02674878   -206.51577878    302.09  2022-01-12 Wed 19:20:07.09
       2   -202.02693939   -206.52391571    306.31  2022-01-12 Wed 19:20:17.92
       3   -202.02709892   -206.53442004    310.83  2022-01-12 Wed 19:20:28.94
       4   -202.02717794   -206.54425399    314.23  2022-01-12 Wed 19:20:39.89
       5   -202.02721005   -206.55250692    316.99  2022-01-12 Wed 19:20:50.67
       6   -202.02722229   -206.55930548    319.10  2022-01-12 Wed 19:21:01.46
       7   -202.02722551   -206.56475867    320.09  2022-01-12 Wed 19:21:12.15
       8   -202.02722307   -206.56885511    319.81  2022-01-12 Wed 19:21:23.22
       9   -202.02721502   -206.57150784    318.45  2022-01-12 Wed 19:21:34.37
      10   -202.02720130   -206.57261451    315.95  2022-01-12 Wed 19:21:45.74
      11   -202.02718306   -206.57217531    312.41  2022-01-12 Wed 19:21:56.49
      12   -202.02716328   -206.57033687    308.19  2022-01-12 Wed 19:22:07.42
      13   -202.02714199   -206.56739233    303.02  2022-01-12 Wed 19:22:18.10
      14   -202.02711903   -206.56376611    297.37  2022-01-12 Wed 19:22:28.81
      15   -202.02709612   -206.55987232    291.89  2022-01-12 Wed 19:22:39.57
      16   -202.02707605   -206.55605408    286.69  2022-01-12 Wed 19:22:50.22
      17   -202.02706162   -206.55259767    282.41  2022-01-12 Wed 19:23:01.18
      18   -202.02705383   -206.54965298    279.69  2022-01-12 Wed 19:23:11.86
      19   -202.02705231   -206.54718244    278.31  2022-01-12 Wed 19:23:22.52
      20   -202.02705511   -206.54504933    277.32  2022-01-12 Wed 19:23:33.13
      21   -202.02706025   -206.54314179    275.74  2022-01-12 Wed 19:23:43.83
      22   -202.02706549   -206.54139889    273.18  2022-01-12 Wed 19:23:54.50
      23   -202.02706975   -206.53975954    269.88  2022-01-12 Wed 19:24:05.07
      24   -202.02707231   -206.53814639    266.44  2022-01-12 Wed 19:24:15.79
