# Potential on atoms 
#   id     pot (eV)
    1     -19.343121
    2     -19.539243
    3     -19.619806
    4     -19.618792
    5     -19.618598
    6     -19.620394
    7     -19.539757
    8     -19.337034
    9     -19.509542
   10     -19.540777
   11     -19.594598
   12     -19.554746
   13     -19.556648
   14     -19.594961
   15     -19.542028
   16     -19.505998
   17     -19.520022
   18     -19.556413
   19     -19.615374
   20     -19.578899
   21     -19.580086
   22     -19.611777
   23     -19.559354
   24     -19.514080
   25     -19.360342
   26     -19.564655
   27     -19.635777
   28     -19.652817
   29     -19.656547
   30     -19.638482
   31     -19.570619
   32     -19.368339
   33     -30.053402
   34     -30.054151
   35     -30.098834
   36     -30.101553
   37     -30.157834
   38     -30.159032
   39     -30.177573
   40     -30.177433
   41     -30.198565
   42     -30.195115
   43     -30.198423
   44     -30.198432
   45     -30.198169
   46     -30.196885
   47     -30.189375
   48     -30.186508
   49     -30.140856
   50     -30.143918
   51     -30.105955
   52     -30.102511
   53     -30.020268
   54     -30.018635
   55     -29.969268
   56     -29.984389
   57     -29.916702
   58     -29.925020
   59     -29.903263
   60     -29.903980
   61     -29.872683
   62     -29.872627
   63     -29.853484
   64     -29.854630
   65     -29.822733
   66     -29.821741
   67     -29.808718
   68     -29.807412
   69     -29.795670
   70     -29.794910
   71     -29.790934
   72     -29.791527
   73     -29.775886
   74     -29.775131
   75     -29.769015
   76     -29.769018
   77     -29.753482
   78     -29.753485
   79     -29.748437
   80     -29.749138
   81     -29.741241
   82     -29.741257
   83     -29.737055
   84     -29.737059
   85     -29.731678
   86     -29.731680
   87     -29.728944
   88     -29.728919
   89     -29.725279
   90     -29.725267
   91     -29.722190
   92     -29.722193
   93     -29.720847
   94     -29.720848
   95     -29.720448
   96     -29.720452
   97     -29.721648
   98     -29.721659
   99     -29.722484
  100     -29.722484
  101     -29.723503
  102     -29.723501
  103     -29.726694
  104     -29.726662
  105     -29.732100
  106     -29.731346
  107     -29.734670
  108     -29.734669
  109     -29.741315
  110     -29.741309
  111     -29.746259
  112     -29.746247
  113     -29.758242
  114     -29.757489
  115     -29.763472
  116     -29.763465
  117     -29.775376
  118     -29.775348
  119     -29.783737
  120     -29.781724
  121     -29.805670
  122     -29.800069
  123     -29.811133
  124     -29.810371
  125     -29.833802
  126     -29.833692
  127     -29.851243
  128     -29.843334
  129     -29.885808
  130     -29.878930
  131     -29.904133
  132     -29.903666
  133     -29.948331
  134     -29.950035
  135     -29.983513
  136     -29.977326
