# Potential on atoms 
#   id     pot (eV)
    1     -13.608171
    2     -13.823587
    3     -13.876456
    4     -13.877683
    5     -13.876835
    6     -13.876220
    7     -13.824809
    8     -13.602146
    9     -13.787206
   10     -13.757927
   11     -13.772242
   12     -13.731712
   13     -13.734170
   14     -13.772421
   15     -13.759451
   16     -13.782632
   17     -13.783354
   18     -13.751653
   19     -13.782836
   20     -13.733532
   21     -13.735109
   22     -13.777005
   23     -13.757694
   24     -13.777915
   25     -13.580607
   26     -13.832895
   27     -13.861866
   28     -13.886975
   29     -13.879525
   30     -13.864908
   31     -13.843022
   32     -13.589093
   33     -18.118548
   34     -18.116774
   35     -18.160473
   36     -18.162980
   37     -18.217985
   38     -18.218766
   39     -18.240331
   40     -18.239059
   41     -18.259305
   42     -18.259622
   43     -18.259880
   44     -18.260646
   45     -18.259142
   46     -18.258439
   47     -18.249959
   48     -18.252014
   49     -18.203781
   50     -18.204869
   51     -18.167662
   52     -18.165252
   53     -18.084839
   54     -18.082114
   55     -18.032683
   56     -18.046999
   57     -17.981107
   58     -17.987518
   59     -17.965244
   60     -17.965733
   61     -17.933577
   62     -17.933527
   63     -17.915261
   64     -17.916056
   65     -17.885536
   66     -17.884734
   67     -17.872217
   68     -17.871176
   69     -17.858113
   70     -17.857505
   71     -17.852643
   72     -17.853072
   73     -17.837724
   74     -17.837123
   75     -17.830904
   76     -17.830908
   77     -17.816261
   78     -17.816264
   79     -17.811189
   80     -17.811735
   81     -17.803729
   82     -17.803748
   83     -17.799617
   84     -17.799622
   85     -17.794031
   86     -17.794033
   87     -17.791300
   88     -17.791275
   89     -17.787518
   90     -17.787505
   91     -17.784751
   92     -17.784754
   93     -17.783286
   94     -17.783286
   95     -17.782884
   96     -17.782889
   97     -17.783939
   98     -17.783947
   99     -17.784771
  100     -17.784773
  101     -17.786152
  102     -17.786151
  103     -17.789099
  104     -17.789066
  105     -17.794490
  106     -17.793883
  107     -17.797213
  108     -17.797213
  109     -17.804066
  110     -17.804059
  111     -17.808938
  112     -17.808929
  113     -17.820614
  114     -17.820001
  115     -17.826010
  116     -17.826005
  117     -17.838217
  118     -17.838187
  119     -17.846474
  120     -17.844844
  121     -17.867577
  122     -17.863036
  123     -17.873990
  124     -17.873382
  125     -17.896827
  126     -17.896702
  127     -17.913563
  128     -17.907196
  129     -17.948024
  130     -17.942061
  131     -17.966715
  132     -17.966370
  133     -18.012090
  134     -18.013224
  135     -18.050176
  136     -18.043090
