 --- primitive lattice vectors ---
  13.6627189232   0.0000000000   0.0000000000
   0.0000000000  13.6627189232   0.0000000000
   0.0000000000   0.0000000000  37.7945198430
 --- Equilibrium position and mass of each atom---
 Natom=   38
     1   0.0000000000   0.0000000000   0.0000000000   115836.56299 Cu  
     2   3.4156797310   3.4156797310   0.0000000000   115836.56299 Cu  
     3   0.0000000000   6.8313594620   0.0000000000   115836.56299 Cu  
     4   3.4156797310  10.2470391920   0.0000000000   115836.56299 Cu  
     5   6.8313594620   0.0000000000   0.0000000000   115836.56299 Cu  
     6  10.2470391920   3.4156797310   0.0000000000   115836.56299 Cu  
     7   6.8313594620   6.8313594620   0.0000000000   115836.56299 Cu  
     8  10.2470391920  10.2470391920   0.0000000000   115836.56299 Cu  
     9  -0.0105539690   3.4250527580   3.4304899660   115836.56299 Cu  
    10   3.4154809680  -0.0000002120   3.4211563700   115836.56299 Cu  
    11  -0.0105785080  10.2376469440   3.4304828490   115836.56299 Cu  
    12   3.4141717960   6.8313588940   3.4381838190   115836.56299 Cu  
    13   6.8407517020   3.4251595990   3.4290711710   115836.56299 Cu  
    14  10.2474426530  -0.0000327840   3.4419435460   115836.56299 Cu  
    15   6.8407549980  10.2375454470   3.4291245390   115836.56299 Cu  
    16  10.2461766780   6.8313499530   3.4215820540   115836.56299 Cu  
    17   6.8461934850   0.0000605030   6.9154060230   115836.56299 Cu  
    18  13.6489730830  13.6626477910   6.9159351950   115836.56299 Cu  
    19   3.4155663480   3.4250299370   6.9399004470   115836.56299 Cu  
    20   3.4154622580  10.2376870790   6.9399206940   115836.56299 Cu  
    21   6.8775408330   6.8313423750   6.9977723670   115836.56299 Cu  
    22  13.6107828800   6.8312944070   7.0030400540   115836.56299 Cu  
    23  10.2463033660   3.4789378640   7.0201046930   115836.56299 Cu  
    24  10.2463276750  10.1836346690   7.0201345090   115836.56299 Cu  
    25  10.2450759720  13.6625956530  10.3309288780   115836.56299 Cu  
    26   3.4097579540   6.8313803180  10.3433521370   115836.56299 Cu  
    27   6.7887501710  10.2917847410  10.3561715780   115836.56299 Cu  
    28   6.7889503030   3.3711052700  10.3564630740   115836.56299 Cu  
    29   0.0439706960   3.3622539810  10.3580183210   115836.56299 Cu  
    30   0.0436240550  10.3002323260  10.3583451750   115836.56299 Cu  
    31   3.4218837890  13.6626701180  10.3674806560   115836.56299 Cu  
    32  10.2533047130   6.8314060450  10.8313214600   115836.56299 Cu  
    33  10.1983246560   5.5243260570  14.8621270400    21894.57964 C   
    34  10.2063656220   8.1354406310  14.8629589710    21894.57964 C   
    35   8.4303308550   4.4573304150  15.0571816600     1837.35098 H   
    36   8.4451480870   9.2127582140  15.0580893850     1837.35098 H   
    37  11.9545709460   4.4455517140  15.0893256280     1837.35098 H   
    38  11.9690221000   9.2028380540  15.0909105020     1837.35098 H   
 --- Vibrational modes ---
 Nmode=   66 Natom=   38
 n=     1 A   IR&R
     hbarW= -0.35629783E-03 Ha = -0.96953570E-02 eV; nu= -0.78198337E+02 cm^-1
    17   0.0002740552 -0.0154933146  0.0004176395
    18  -0.0002885048  0.0140677131 -0.0006558159
    19  -0.0089422074 -0.0007624950  0.0009117510
    20   0.0095544715 -0.0005312709  0.0006015680
    21   0.0001963461 -0.0070791918  0.0000120469
    22   0.0002953727  0.0070100866 -0.0007580245
    23   0.0038757499  0.0004316680  0.0004718257
    24  -0.0042829094  0.0007623610 -0.0001486260
    25  -0.0000904643  0.0010975085  0.0007655567
    26   0.0002490132 -0.0030692444 -0.0002582144
    27   0.0302231380 -0.0238371459  0.0333637965
    28  -0.0290791488 -0.0233273060 -0.0304508386
    29  -0.0315990042  0.0214685862  0.0315258166
    30   0.0313362247  0.0223717427 -0.0322003553
    31   0.0003584917  0.0006866958 -0.0001486801
    32  -0.0004952906 -0.0020474722  0.0009678787
    33   0.5168785550  0.0066098039  0.0065809871
    34  -0.5069243587  0.0096743360 -0.0034978453
    35   0.2730713904 -0.2029791303 -0.0000494526
    36  -0.2718467786 -0.2022949605  0.0035603733
    37   0.2740899824  0.2054958363  0.0079704643
    38  -0.2707076651  0.2089113351 -0.0086172130
 n=     2 A   IR&R
     hbarW= -0.14446718E-04 Ha = -0.39311519E-03 eV; nu= -0.31706881E+01 cm^-1
    17   0.0410782879  0.2388417698  0.0523660941
    18   0.0375345137  0.2390535003  0.0486707806
    19   0.0400809483  0.2381070808  0.0475315106
    20   0.0402520954  0.2382941429  0.0480421298
    21   0.0402659771  0.2369478069  0.0561716517
    22   0.0384129959  0.2366587912  0.0524078100
    23   0.0387153403  0.2375617364  0.0596641177
    24   0.0385347097  0.2348720083  0.0567841722
    25   0.0401816654  0.2333322551  0.0557079523
    26   0.0389220122  0.2377684697  0.0512746353
    27   0.0376717594  0.2395534190  0.0539541670
    28   0.0380503060  0.2376443153  0.0569057673
    29   0.0405317597  0.2380355303  0.0544284536
    30   0.0410240455  0.2388913338  0.0504339015
    31   0.0386290419  0.2390895422  0.0513659760
    32   0.0394499910  0.2452891396  0.0628291312
    33   0.0157632210  0.0900832728  0.0213556980
    34   0.0159744242  0.0898393715  0.0369364376
    35   0.0045127335  0.0258308821  0.0048357437
    36   0.0045997382  0.0257333311  0.0116769065
    37   0.0044661787  0.0256009133  0.0049929425
    38   0.0046206183  0.0257012880  0.0119236200
 n=     3 A   IR&R
     hbarW= -0.80363128E-05 Ha = -0.21867919E-03 eV; nu= -0.17637668E+01 cm^-1
    17  -0.1376976656  0.0670452169 -0.1912503534
    18  -0.1368303419  0.0672030445 -0.1887587755
    19  -0.1376913045  0.0652346976 -0.1912745467
    20  -0.1375396918  0.0688403919 -0.1891221402
    21  -0.1375732710  0.0668238970 -0.1971601101
