#                 Photo Absorption Cross Section
#      Energy[eV]   NonInteracting   Interacting
       0.000000       0.000000       0.000000
       0.050000       0.000034       0.000012
       0.100000       0.000069       0.000024
       0.150000       0.000103       0.000036
       0.200000       0.000138       0.000048
       0.250000       0.000173       0.000060
       0.300000       0.000208       0.000072
       0.350000       0.000244       0.000085
       0.400000       0.000280       0.000097
       0.450000       0.000316       0.000110
       0.500000       0.000353       0.000122
       0.550000       0.000391       0.000135
       0.600000       0.000429       0.000148
       0.650000       0.000468       0.000161
       0.700000       0.000508       0.000174
       0.750000       0.000549       0.000187
       0.800000       0.000590       0.000201
       0.850000       0.000633       0.000215
       0.900000       0.000677       0.000229
       0.950000       0.000723       0.000243
       1.000000       0.000769       0.000258
       1.050000       0.000817       0.000273
       1.100000       0.000867       0.000288
       1.150000       0.000918       0.000304
       1.200000       0.000971       0.000320
       1.250000       0.001027       0.000336
       1.300000       0.001084       0.000353
       1.350000       0.001143       0.000370
       1.400000       0.001205       0.000388
       1.450000       0.001269       0.000406
       1.500000       0.001336       0.000424
       1.550000       0.001405       0.000443
       1.600000       0.001478       0.000463
       1.650000       0.001554       0.000483
       1.700000       0.001634       0.000504
       1.750000       0.001718       0.000525
       1.800000       0.001805       0.000548
       1.850000       0.001897       0.000570
       1.900000       0.001994       0.000594
       1.950000       0.002095       0.000618
       2.000000       0.002202       0.000643
       2.050000       0.002315       0.000670
       2.100000       0.002434       0.000696
       2.150000       0.002560       0.000724
       2.200000       0.002693       0.000753
       2.250000       0.002833       0.000783
       2.300000       0.002982       0.000814
       2.350000       0.003141       0.000847
       2.400000       0.003309       0.000880
       2.450000       0.003487       0.000915
       2.500000       0.003678       0.000951
       2.550000       0.003881       0.000988
       2.600000       0.004098       0.001027
       2.650000       0.004329       0.001068
       2.700000       0.004577       0.001110
       2.750000       0.004843       0.001155
       2.800000       0.005129       0.001201
       2.850000       0.005436       0.001249
       2.900000       0.005767       0.001299
       2.950000       0.006124       0.001351
       3.000000       0.006510       0.001406
       3.050000       0.006928       0.001463
       3.100000       0.007381       0.001523
       3.150000       0.007874       0.001585
       3.200000       0.008411       0.001651
       3.250000       0.008998       0.001719
       3.300000       0.009640       0.001791
       3.350000       0.010344       0.001867
       3.400000       0.011119       0.001946
       3.450000       0.011975       0.002029
       3.500000       0.012921       0.002117
       3.550000       0.013972       0.002209
       3.600000       0.015143       0.002306
       3.650000       0.016452       0.002408
       3.700000       0.017922       0.002516
       3.750000       0.019579       0.002629
       3.800000       0.021455       0.002749
       3.850000       0.023590       0.002876
       3.900000       0.026033       0.003010
       3.950000       0.028844       0.003153
       4.000000       0.032100       0.003303
       4.050000       0.035898       0.003463
       4.100000       0.040363       0.003632
       4.150000       0.045657       0.003813
       4.200000       0.051994       0.004005
       4.250000       0.059664       0.004209
       4.300000       0.069059       0.004427
       4.350000       0.080732       0.004659
       4.400000       0.095469       0.004908
       4.450000       0.114428       0.005174
       4.500000       0.139366       0.005460
       4.550000       0.173051       0.005766
       4.600000       0.220049       0.006096
       4.650000       0.288332       0.006450
       4.700000       0.392828       0.006833
       4.750000       0.564187       0.007246
       4.800000       0.873740       0.007693
       4.850000       1.520453       0.008177
       4.900000       3.246172       0.008704
       4.950000      10.909975       0.009278
       5.000000     212.855999       0.009903
       5.050000      23.093785       0.010587
       5.100000       4.906066       0.011338
       5.150000       2.072181       0.012162
       5.200000       1.141639       0.013071
       5.250000       0.724491       0.014077
       5.300000       0.501995       0.015191
       5.350000       0.369316       0.016432
       5.400000       0.283791       0.017818
       5.450000       0.225401       0.019372
       5.500000       0.183735       0.021122
       5.550000       0.152941       0.023102
       5.600000       0.129527       0.025353
       5.650000       0.111298       0.027925
       5.700000       0.096822       0.030881
       5.750000       0.085130       0.034302
       5.800000       0.075549       0.038287
       5.850000       0.067597       0.042967
       5.900000       0.060923       0.048508
       5.950000       0.055267       0.055134
       6.000000       0.050432       0.063142
       6.050000       0.046267       0.072940
       6.100000       0.042654       0.085095
       6.150000       0.039500       0.100420
       6.200000       0.036732       0.120106
       6.250000       0.034291       0.145955
       6.300000       0.032129       0.180807
       6.350000       0.030207       0.229333
       6.400000       0.028492       0.299662
       6.450000       0.026958       0.406964
       6.500000       0.025583       0.582243
       6.550000       0.024347       0.897194
       6.600000       0.023236       1.549871
       6.650000       0.022237       3.266934
       6.700000       0.021338      10.643607
       6.750000       0.020531     176.134403
       6.800000       0.019808      26.846756
       6.850000       0.019166       5.381451
       6.900000       0.018590       2.233777
       6.950000       0.018085       1.220964
       7.000000       0.017648       0.771669
       7.050000       0.017277       0.533624
       7.100000       0.016983       0.392378
       7.150000       0.016737       0.301739
       7.200000       0.016564       0.240068
       7.250000       0.016481       0.196282
       7.300000       0.016483       0.164127
       7.350000       0.016602       0.140045
       7.400000       0.016900       0.121344
       7.450000       0.017536       0.106824
       7.500000       0.019211       0.096243
       7.550000       0.029628       0.094595
       7.600000       0.070388       0.156800
       7.650000       0.023037       0.075709
       7.700000       0.021722       0.067952
       7.750000       0.022846       0.063762
       7.800000       0.025043       0.061205
       7.850000       0.028404       0.060090
       7.900000       0.033475       0.060631
       7.950000       0.041421       0.063426
       8.000000       0.054736       0.069768
       8.050000       0.079477       0.082554
       8.100000       0.133596       0.109122
       8.150000       0.291587       0.172473
       8.200000       1.185097       0.377666
       8.250000      22.313525       1.868337
       8.300000       0.928191       9.501585
       8.350000       0.264809       0.678208
       8.400000       0.130496       0.236771
       8.450000       0.082608       0.130181
       8.500000       0.060793       0.089024
       8.550000       0.049649       0.069227
       8.600000       0.043858       0.058599
       8.650000       0.041264       0.052756
       8.700000       0.040925       0.049764
       8.750000       0.042590       0.048917
       8.800000       0.046392       0.049924
       8.850000       0.052927       0.052892
       8.900000       0.063505       0.058318
       8.950000       0.080984       0.067339
       9.000000       0.110909       0.082538
       9.050000       0.167639       0.106562
       9.100000       0.297544       0.151934
       9.150000       0.707751       0.247979
       9.200000       3.646568       0.510536
       9.250000      18.776183       1.765925
       9.300000       1.350619      44.828103
       9.350000       0.566721       2.522386
       9.400000       0.907505       1.112034
       9.450000       6.605612      11.197314
       9.500000       0.429769       0.686194
       9.550000       0.171905       0.226401
       9.600000       0.105158       0.133655
       9.650000       0.076653       0.094911
       9.700000       0.061652       0.074387
       9.750000       0.053033       0.062299
       9.800000       0.048089       0.054907
       9.850000       0.045687       0.050542
       9.900000       0.045528       0.048511
       9.950000       0.047079       0.048426
      10.000000       0.051600       0.050538
